"measurement_value","base_date","year","month","day","day_of_week","is_holiday","base_time","hour","category_code","category_description","unit","nx","ny","admin_district_code","city","sub_address"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,PTY,RainType,"0no1rain2rainSnow3snow5rainDrop6blowRainSnow7blowSnow",63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
55.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,REH,Humidity,%,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,RN1,"1HourRainfall",mm,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
-0.40,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,T1H,Temperature,Celsius,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
0.40,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,UUU,WindSpeedEastWest,m/s,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
284.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,VEC,WindDirection,deg,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,VVV,WindSpeedSouthNorth,m/s,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
0.40,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,WSD,WindSpeed,m/s,63,125,"1171064600",Seoul,"Songpa-gu, Jangji-dong"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,PTY,RainType,"0no1rain2rainSnow3snow5rainDrop6blowRainSnow7blowSnow",53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
61.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,REH,Humidity,%,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,RN1,"1HourRainfall",mm,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
-0.40,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,T1H,Temperature,Celsius,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
1.80,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,UUU,WindSpeedEastWest,m/s,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
319.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,VEC,WindDirection,deg,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
-2.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,VVV,WindSpeedSouthNorth,m/s,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
2.80,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,WSD,WindSpeed,m/s,53,124,"2811052000",Incheon,"Jung-gu, Yeonan-dong"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,PTY,RainType,"0no1rain2rainSnow3snow5rainDrop6blowRainSnow7blowSnow",66,120,"4150034000",Icheon,Majang-myeon
75.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,REH,Humidity,%,66,120,"4150034000",Icheon,Majang-myeon
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,RN1,"1HourRainfall",mm,66,120,"4150034000",Icheon,Majang-myeon
-2.90,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,T1H,Temperature,Celsius,66,120,"4150034000",Icheon,Majang-myeon
-0.40,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,UUU,WindSpeedEastWest,m/s,66,120,"4150034000",Icheon,Majang-myeon
140.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,VEC,WindDirection,deg,66,120,"4150034000",Icheon,Majang-myeon
0.60,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,VVV,WindSpeedSouthNorth,m/s,66,120,"4150034000",Icheon,Majang-myeon
0.80,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,WSD,WindSpeed,m/s,66,120,"4150034000",Icheon,Majang-myeon
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,PTY,RainType,"0no1rain2rainSnow3snow5rainDrop6blowRainSnow7blowSnow",86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
100.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,REH,Humidity,%,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
0.00,2025-03-19,2025,3,19,Wednesday,FALSE,"0400",4,RN1,"1HourRainfall",mm,86,86,"2771038000",Daegu,"Dalsung-gun, Guji-myeon"
